联网设备名称,SN,变量名称,从机序号,从机名称,time,value
设备5_new,6.1694E+16,温度,2,土壤,37:16.3,19
设备5_new,6.1694E+16,温度,2,土壤,42:02.5,19
设备5_new,6.1694E+16,温度,2,土壤,46:57.7,18
设备5_new,6.1694E+16,温度,2,土壤,52:05.7,18
设备5_new,6.1694E+16,温度,2,土壤,57:05.6,17
设备5_new,6.1694E+16,温度,2,土壤,02:01.6,17
设备5_new,6.1694E+16,温度,2,土壤,07:16.0,16
设备5_new,6.1694E+16,温度,2,土壤,12:02.1,16
设备5_new,6.1694E+16,温度,2,土壤,16:58.8,15
设备5_new,6.1694E+16,温度,2,土壤,22:01.1,15
设备5_new,6.1694E+16,温度,2,土壤,27:08.1,14
设备5_new,6.1694E+16,温度,2,土壤,32:00.7,14
设备5_new,6.1694E+16,温度,2,土壤,37:04.8,14
设备5_new,6.1694E+16,温度,2,土壤,42:01.6,13
设备5_new,6.1694E+16,温度,2,土壤,47:04.3,13
设备5_new,6.1694E+16,温度,2,土壤,52:01.4,13
设备5_new,6.1694E+16,温度,2,土壤,57:05.9,13
设备5_new,6.1694E+16,温度,2,土壤,02:00.3,12
设备5_new,6.1694E+16,温度,2,土壤,07:17.1,12
设备5_new,6.1694E+16,温度,2,土壤,12:03.1,12
设备5_new,6.1694E+16,温度,2,土壤,17:05.9,12
设备5_new,6.1694E+16,温度,2,土壤,21:58.6,12
设备5_new,6.1694E+16,温度,2,土壤,27:02.8,12
设备5_new,6.1694E+16,温度,2,土壤,32:02.5,12
设备5_new,6.1694E+16,温度,2,土壤,37:07.6,12
设备5_new,6.1694E+16,温度,2,土壤,42:03.5,12
设备5_new,6.1694E+16,温度,2,土壤,47:09.1,12
设备5_new,6.1694E+16,温度,2,土壤,52:00.1,12
设备5_new,6.1694E+16,温度,2,土壤,57:02.9,12
设备5_new,6.1694E+16,温度,2,土壤,02:04.3,12
设备5_new,6.1694E+16,温度,2,土壤,07:16.1,12
设备5_new,6.1694E+16,温度,2,土壤,12:03.4,12
设备5_new,6.1694E+16,温度,2,土壤,17:03.8,12
设备5_new,6.1694E+16,温度,2,土壤,22:02.7,12
设备5_new,6.1694E+16,温度,2,土壤,27:01.5,12
设备5_new,6.1694E+16,温度,2,土壤,32:13.7,12
设备5_new,6.1694E+16,温度,2,土壤,37:05.3,12
设备5_new,6.1694E+16,温度,2,土壤,42:01.3,12
设备5_new,6.1694E+16,温度,2,土壤,47:03.9,12
设备5_new,6.1694E+16,温度,2,土壤,52:01.1,12
设备5_new,6.1694E+16,温度,2,土壤,57:06.9,12
设备5_new,6.1694E+16,温度,2,土壤,02:00.8,12
设备5_new,6.1694E+16,温度,2,土壤,07:18.3,12
设备5_new,6.1694E+16,温度,2,土壤,12:04.9,12
设备5_new,6.1694E+16,温度,2,土壤,17:00.2,12
设备5_new,6.1694E+16,温度,2,土壤,22:02.4,12
设备5_new,6.1694E+16,温度,2,土壤,27:01.2,12
设备5_new,6.1694E+16,温度,2,土壤,31:59.9,12
设备5_new,6.1694E+16,温度,2,土壤,37:04.8,12
设备5_new,6.1694E+16,温度,2,土壤,42:03.7,12
设备5_new,6.1694E+16,温度,2,土壤,47:00.8,12
设备5_new,6.1694E+16,温度,2,土壤,52:06.1,11
设备5_new,6.1694E+16,温度,2,土壤,57:11.0,11
设备5_new,6.1694E+16,温度,2,土壤,02:00.7,11
设备5_new,6.1694E+16,温度,2,土壤,07:13.4,11
设备5_new,6.1694E+16,温度,2,土壤,12:03.8,11
设备5_new,6.1694E+16,温度,2,土壤,16:59.1,11
设备5_new,6.1694E+16,温度,2,土壤,22:01.7,11
设备5_new,6.1694E+16,温度,2,土壤,27:00.8,11
设备5_new,6.1694E+16,温度,2,土壤,32:03.2,11
设备5_new,6.1694E+16,温度,2,土壤,37:05.4,11
设备5_new,6.1694E+16,温度,2,土壤,42:02.6,11
设备5_new,6.1694E+16,温度,2,土壤,46:59.7,11
设备5_new,6.1694E+16,温度,2,土壤,52:03.9,11
设备5_new,6.1694E+16,温度,2,土壤,56:58.3,11
设备5_new,6.1694E+16,温度,2,土壤,02:01.3,11
设备5_new,6.1694E+16,温度,2,土壤,07:14.7,11
设备5_new,6.1694E+16,温度,2,土壤,12:03.9,11
设备5_new,6.1694E+16,温度,2,土壤,16:58.7,11
设备5_new,6.1694E+16,温度,2,土壤,22:00.9,11
设备5_new,6.1694E+16,温度,2,土壤,27:02.0,11
设备5_new,6.1694E+16,温度,2,土壤,32:05.2,11
设备5_new,6.1694E+16,温度,2,土壤,37:06.9,11
设备5_new,6.1694E+16,温度,2,土壤,42:04.1,11
设备5_new,6.1694E+16,温度,2,土壤,46:58.3,11
设备5_new,6.1694E+16,温度,2,土壤,52:00.2,11
设备5_new,6.1694E+16,温度,2,土壤,57:04.4,11
设备5_new,6.1694E+16,温度,2,土壤,02:05.5,11
设备5_new,6.1694E+16,温度,2,土壤,07:10.4,11
设备5_new,6.1694E+16,温度,2,土壤,12:01.3,11
设备5_new,6.1694E+16,温度,2,土壤,16:56.8,11
设备5_new,6.1694E+16,温度,2,土壤,22:01.5,11
设备5_new,6.1694E+16,温度,2,土壤,26:58.1,11
设备5_new,6.1694E+16,温度,2,土壤,32:02.6,11
设备5_new,6.1694E+16,温度,2,土壤,36:58.8,11
设备5_new,6.1694E+16,温度,2,土壤,42:03.1,11
设备5_new,6.1694E+16,温度,2,土壤,46:54.4,11
设备5_new,6.1694E+16,温度,2,土壤,52:08.8,11
